key,value
No job,unemployed
Burger Flipper,burgerflipper
DIY Expert,repairman
Burglar,burglar
Engineer,engineer
Angler,fisherman
Police Officer,policeofficer
Lumberjack,lumberjack
Blacksmith,smither
Crop Farmer,farmer
Electrician,electrician
Fire Officer,fireofficer
Welder,metalworker
Fitness Instructor,fitnessinstructor
Veteran,veteran
Tailor,tailor
Chef,chef
Doctor,doctor
Park Ranger,parkranger
Nurse,nurse
Security Guard,securityguard
Carpenter,carpenter
Mechanic,mechanics
Livestock Farmer,rancher
Construction Worker,constructionworker

Slow Learner,slowlearner
Weak Stomach,weakstomach
Brave,brave
Agoraphobic,agoraphobic
Artisan,artisan
Restless Sleeper,insomniac
Illiterate,illiterate
Gymnast,gymnast
Fast Metabolism,weightloss
Inventive,inventive
Outdoorsy,outdoorsman
Smoker,smoker
Iron Gut,irongut
Hiker,hiker
Nutritionist,nutritionist
Organized,organized
Target Shooter,target_shooter
Weak,weak
Feeble,feeble
Low Thirst,lowthirst
Dextrous,dextrous
Vehicle Knowledge,mechanics
Conspicuous,conspicuous
Unfit,unfit
Light Eater,lighteater
Hearty Appetite,heartyappetite
Runner,jogger
Out of Shape,out of shape
Adrenaline Junkie,adrenalinejunkie
Athletic,athletic
Keen Hearing,keenhearing
Sewer,tailor
Herbalist,herbalist
Hunter,hunter
Cat's Eyes,nightvision
Hard of Hearing,hardofhearing
Tinkerer,tinkerer
Clumsy,clumsy
Fast Healer,fasthealer
Strong,strong
Gardener,gardener
High Thirst,highthirst
Thick Skinned,thickskinned
Short Sighted,shortsighted
Slow Healer,slowhealer
Crafty,crafty
Fast Learner,fastlearner
Fit,fit
Slow Metabolism,weightgain
Graceful,graceful
Former Scout,formerscout
Mason,mason
Bushcrafter,wildernessknowledge
Whittler,whittler
Deaf,deaf
Sleepyhead,needsmoresleep
Cowardly,cowardly
Disorganized,disorganized
Wakeful,needslesssleep
Inconspicuous,inconspicuous
Brawler,brawler
Reluctant Fighter,pacifist
Fast Reader,fastreader
Eagle Eyed,eagleeyed
Slow Reader,slowreader
Thin-skinned,thinskinned
Handy,handy
Sunday Driver,sundaydriver
Short of Breath,asthmatic
Blacksmith Knowledge,blacksmith
Fear of Blood,hemophobic
Stout,stout
Claustrophobic,claustrophobic
Prone to Illness,pronetoillness
Baseball Player,baseballplayer
Speed Demon,speeddemon
Resilient,resilient
Angler,fishing
Keen Cook,cook
All Thumbs,allthumbs
First Aider,firstaid
