key,ko,en
speeddemon,차량의 최고 속력 +15%; 기어 전환 속도 +100%,
artisan,유리공예 +1; 도예 +1,
dextrous,물건 옮기기 속도 +100%,
fastreader,책 읽는 속도 +30%,
firstaid,의료 +1,
gardener,농사 +1; 채집 향상,
inventive,레시피 습득 필요 레벨 -1,
irongut,식중독 확률 감소 및 회복 속도 증가,
lighteater,배고픔 속도 -25%,
lowthirst,목마름 속도 -50%,
mason,석공술 +2,
nutritionist,식품의 영양정보 표시; 채집 향상,
outdoorsman,감기 걸릴 확률 감소; 나무에 긁힐 확률 감소; 채집 향상,
whittler,조각술 +2; 채집 향상,
nightvision,야간시야 +20%; 채집 향상,
crafty,모든 제작 스킬 경험치 +30%,
cook,요리 +2; 도축 +1; 채집 향상,
mechanics,차량정비 +1,
needslesssleep,피곤함 속도 -30%; 수면 효율 +10%,
adrenalinejunkie,패닉 상태에서 이동속도 증가,
fishing,낚시 +1; 채집 향상,
baseballplayer,긴 둔기 +1,
brave,패닉 속도 -70%,
eagleeyed,가시거리 향상; 채집 향상,
graceful,발소리 범위 및 크기 -40%,
herbalist,채집 +1; 채집 향상,
inconspicuous,좀비에게 발견될 확률 -50%,
organized,모든 보관함 용량 +30%,
resilient,감기에 걸릴 확률이 감소하고 좀비화가 느리게 진행됨,
jogger,능숙한 달리기 +1,
tailor,재단술 +1,
tinkerer,물건관리 +1,
gymnast,조용한 발걸음 +1; 조준시 발걸음 +1,
hiker,채집 +1; 함정 +1; 채집 향상,
target_shooter,조준 +1,
blacksmith,물건관리 +1; 금속세공 +2,
brawler,도끼 +1; 긴 둔기 +1,
fasthealer,부상을 입었을 때 심각도 -40%,
fastlearner,운동을 제외한 모든 경험치 +30%,
fit,체력 +2,
formerscout,의료 +1; 낚시 +1; 채집 +1; 채집 향상,
keenhearing,인지거리 +100%; 뒤에서 접근하는 좀비가 더 빨리 발견됨,
stout,근력 +2,
handy,목공술 +1; 조각술 +1; 물건관리 +1; 석공술 +1; 모든 구조물 체력 +100; 건설 속도 향상,
hunter,조준 +1; 도축 +1; 단검 +1; 채집 +1; 은밀한 움직임 +1; 채집 향상,
thickskinned,부상 확률 -30%,
wildernessknowledge,조각술 +1; 채집 +1; 물건관리 +1; 석기제작 +1; 채집 향상,
athletic,체력 +4; 달리기 향상,
strong,근력 +4; 밀치기 향상,
sundaydriver,차량의 최고 속력 30km/h; 가속 -40%,
allthumbs,물건 옮기기 속도 -75%; 이동 중 제작 불가; 대부분 행동에서 실패 확률 증가,
clumsy,발소리 범위 및 크기 +20%,
cowardly,패닉 속도 +100%,
weightloss,몸무게 감소량 증가; 저체중으로 시작; 체력 -1,
weightgain,몸무게 감소량 감소; 과체중으로 시작,
highthirst,목마름 속도 +100%,
shortsighted,4타일 이상 거리를 블러 처리; 채집 거리 감소 (안경 착용 시 제거됨),
slowreader,책 읽는 속도 -30%,
weakstomach,식중독 확률 증가 및 회복 속도 감소,
slowhealer,부상을 입었을 때 심각도 증가,
smoker,흡연을 하지 않을 때 스트레스 증가; 흡연 시 스트레스 감소; 흡연으로 인한 질병 면역,
agoraphobic,실외에 머무를 때 패닉 증가; 채집 거리 감소,
claustrophobic,실내에 머무를 때 패닉 증가,
conspicuous,좀비에게 발견될 확률 +100%,
hardofhearing,인지거리 감소; 모든 소리가 먹먹해짐,
heartyappetite,배고픔 속도 +50%; 채집 향상,
pronetoillness,감기에 걸릴 확률이 증가하고 좀비화가 빠르게 진행됨,
needsmoresleep,피곤함 속도 +30%; 수면 효율 -10%,
asthmatic,달리기 지구력 효율 -40%; 무기 및 도구 지구력 효율 -30%,
hemophobic,치료 시 패닉; 타인 치료 불가; 피범벅 상태일 때 스트레스 증가,
pacifist,전투 경험치 -25%,
disorganized,모든 보관함 용량 -30%,
feeble,근력 -2,
out of shape,체력 -2,
insomniac,최대 수면 시간이 제한됨; 수면으로 회복하는 피로도 감소,
slowlearner,운동을 제외한 모든 경험치 -30%,
thinskinned,부상을 당할 확률 증가,
illiterate,글을 읽을 수 없음,
weak,근력 -5; 밀치기 감소,
unfit,체력 -4,
deaf,소리를 들을 수 없음,
