항목,값,icon,stats,금지항목
속도광;speeddemon,-1,icons/Trait_speeddemon.png,,sundaydriver
장인;artisan,-2,icons/Trait_artisan.png,Glassmaking:1;Pottery:1,
민첩한;dextrous,-2,icons/Trait_dextrous.png,,allthumbs
속독;fastreader,-2,icons/Trait_fastreader.png,,slowreader;illiterate
응급처치;firstaid,-2,icons/Trait_firstaid.png,FirstAid:1,
정원사;gardener,-2,icons/Trait_gardener.png,Agriculture:1,
창의적;inventive,-2,icons/Trait_inventive.png,,
강철 위장;irongut,-2,icons/Trait_irongut.png,,weakstomach
소식가;lighteater,-2,icons/Trait_lighteater.png,,heartyappetite;Obese
낮은 갈증;lowthirst,-2,icons/Trait_lowthirst.png,,highthirst
석공;mason,-2,icons/Trait_mason.png,Masonry:2,
영양사;nutritionist,-2,icons/Trait_nutritionist.png,,
등산애호가;outdoorsman,-2,icons/Trait_outdoorsman.png,,
조각가;whittler,-2,icons/Trait_whittler.png,Carving:2,
고양이의 눈;nightvision,-3,icons/Trait_nightvision.png,,
재주꾼;crafty,-3,icons/Trait_default.png,,fastlearner;slowlearner
요리;cook,-3,icons/Trait_cook.png,Cooking:2;Butchering:1,
정비;mechanics,-3,icons/Trait_mechanics.png,Vehicle:1,
잠이 없는;needslesssleep,-3,icons/Trait_needslesssleep.png,,needsmoresleep
아드레날린 중독;adrenalinejunkie,-4,icons/Trait_adrenalinejunkie.png,,claustrophobic;agoraphobic;cowardly;Desensitized
낚시꾼;fishing,-4,icons/Trait_fishing.png,Fishing:1,
야구선수;baseballplayer,-4,icons/Trait_baseballplayer.png,LongBlunt:1,
용감한;brave,-4,icons/Trait_brave.png,,cowardly;agoraphobic;claustrophobic;Desensitized
매의 눈;eagleeyed,-4,icons/Trait_eagleeyed.png,,shortsighted
우아함;graceful,-4,icons/Trait_graceful.png,,clumsy
약초꾼;herbalist,-4,icons/Trait_herbalist.png,Foraging:1,
부족한 존재감;inconspicuous,-4,icons/Trait_inconspicuous.png,,conspicuous
정리쟁이;organized,-4,icons/Trait_organized.png,,disorganized
강한 회복력;resilient,-4,icons/Trait_resilient.png,,pronetoillness
조깅을 즐기는;jogger,-4,icons/Trait_jogger.png,Running:1,
재단술;tailor,-4,icons/Trait_tailor.png,Tailoring:1,
땜장이;tinkerer,-4,icons/Trait_tinkerer.png,Maintenance:1,
체조선수;gymnast,-5,icons/Trait_gymnast.png,Lightfooted:1;Nimble:1,
도보 여행자;hiker,-5,icons/Trait_hiker.png,Foraging:1;Trapping:1,
사격수;target_shooter,-5,icons/Trait_target_shooter.png,Aiming:1,
대장장이 기술;blacksmith,-6,icons/Trait_blacksmith.png,Maintenance:1;Blacksmith:2,
싸움꾼;brawler,-6,icons/Trait_brawler.png,LongBlunt:1;Axe:1,
빠른 회복;fasthealer,-6,icons/Trait_fasthealer.png,,slowhealer
현자;fastlearner,-6,icons/Trait_fastlearner.png,,crafty;slowlearner
건강한;fit,-6,icons/Trait_fit.png,fit:2,Obese;athletic;out of shape;unfit;Overweight;weightgain
정찰병 경험;formerscout,-6,icons/Trait_formerscout.png,FirstAid:1;Foraging:1;Fishing:1,
예민한 청력;keenhearing,-6,icons/Trait_keenhearing.png,,deaf;hardofhearing
통통함;stout,-6,icons/Trait_stout.png,str:2,weak;feeble;strong
능숙함;handy,-8,icons/Trait_handy.png,Maintenance:1;Carving:1;Carpentry:1;Masonry:1,
사냥꾼;hunter,-8,icons/Trait_hunter.png,Butchering:1;ShortBlade:1;Aiming:1;Trapping:1;Sneaking:1,
두꺼운 피부;thickskinned,-8,icons/Trait_thickskinned.png,,thinskinned
황야 지식;wildernessknowledge,-8,icons/Trait_wildernessknowledge.png,Knapping:1;Foraging:1;Maintenance:1;Carving:1,
육상 선수;athletic,-10,icons/Trait_athletic.png,fit:4,Overweight;weightgain;fit;Obese;out of shape;unfit;Very Underweight;smoker
튼튼함;strong,-10,icons/Trait_strong.png,str:4,weak;feeble;stout

초보 운전;sundaydriver,1,icons/Trait_sundaydriver.png,,speeddemon
서투른;allthumbs,2,icons/Trait_allthumbs.png,,dextrous
덤벙댐;clumsy,2,icons/Trait_clumsy.png,,graceful
겁쟁이;cowardly,2,icons/Trait_cowardly.png,,brave;Desensitized;adrenalinejunkie
빠른 신진대사;weightloss,2,icons/Trait_emaciated.png,fit:-1,weightgain;Overweight;Very Underweight;Obese
느린 신진대사;weightgain,2,icons/Trait_obese.png,,weightloss;Obese;Underweight;Very Underweight;Emaciated;athletic;fit
높은 갈증;highthirst,2,icons/Trait_highthirst.png,,lowthirst
짧은 시야;shortsighted,2,icons/Trait_shortsighted.png,,eagleeyed
정독;slowreader,2,icons/Trait_slowreader.png,,fastreader;illiterate
소화불량;weakstomach,2,icons/Trait_weakstomach.png,,irongut
느린 치유;slowhealer,3,icons/Trait_slowhealer.png,,fasthealer
골초;smoker,3,icons/Trait_smoker.png,,athletic
광장 공포증;agoraphobic,4,icons/Trait_agoraphobic.png,,Desensitized;claustrophobic;adrenalinejunkie
밀실 공포증;claustrophobic,4,icons/Trait_claustophobic.png,,brave;agoraphobic;adrenalinejunkie;Desensitized
넘치는 존재감;conspicuous,4,icons/Trait_conspicuous.png,,inconspicuous
어두운 귀;hardofhearing,4,icons/Trait_hardofhearing.png,,keenhearing;deaf
대식가;heartyappetite,4,icons/Trait_heartyappetite.png,,Very Underweight;lighteater
질병에 취약함;pronetoillness,4,icons/Trait_hypercondriac.png,,resilient
잠꾸러기;needsmoresleep,4,icons/Trait_needsmoresleep.png,,needslesssleep
천식환자;asthmatic,5,icons/Trait_asthmatic.png,,
피 공포증;hemophobic,5,icons/Trait_hemophobic.png,,Desensitized
평화주의자;pacifist,5,icons/Trait_pacifist.png,,
비체계적인;disorganized,6,icons/Trait_disorganized.png,,organized
